longname,glot_fam,81A,82A,83A,87A,88A,89A,92A,93A,nValues,97A,112A,116A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,26A,33A,37A,38A,51A,57A,69A,85A,86A,90A,90C,95A,96A,101A,144L,144P,144Q,144R,144S,70A,71A,132A,133A,134A,135A,14A,15A,16A,17A,142A,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,18A,19A,20A,21A,21B,28A,29A,35A,39A,40A,44A,48A,49A,50A,65A,66A,67A,68A,77A,78A,84A,91A,94A,98A,99A,100A,102A,103A,104A,107A,111A,113A,114A,121A,129A,130A,13A,22A,23A,24A,25A,25B,27A,30A,31A,32A,34A,36A,41A,42A,46A,47A,52A,53A,54A,55A,58A,58B,59A,60A,61A,62A,63A,64A,72A,73A,74A,75A,76A,79A,79B,80A,90B,105A,106A,108A,108B,109A,109B,110A,115A,117A,118A,119A,120A,122A,123A,124A,125A,126A,127A,128A,131A,136A,136B,137A,137B,144M,138A,39B,45A,56A,143B,144F,144E,139A,140A,143C,144O,144G,43A,144C,144T,144V,144W,144X,81B,10B,130B,144N,144U,90D,144Y,90E,141A,90F,143D,90G
OM.MIXTECAN.MIXTECO_DE_SAN_JUAN_COLORADO,Otomanguean,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OM.MIXTECAN.MIXTECO_DE_YOSONDUA,Otomanguean,,2,2,2,2,1,2,1,-168,,,1,,,,,,,,,,,,,,,2,,,,2,2,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
OM.MIXTECAN.MIXTEC_CHAYUCO,Otomanguean,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OM.MIXTECAN.MIXTEC_PENYOLES,Otomanguean,,2,2,2,,1,2,1,-158,,2,1,1,1,,,,,,,,,,,,,,,2,1,2,2,1,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
AA.WEST_CHADIC.MIYA,Afro-Asiatic,,,2,2,1,2,2,,-149,,,1,,1,1,,,,,,,,,2,2,1,1,,2,,2,2,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,2,2,,,,2,1,,1,,,,1,,,,,,,,2,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,
CSu.MORU_MAADI.MIZA,Central_Sudanic,,1,,2,2,2,2,2,-160,,2,1,2,,1,,,,,,,,1,,2,1,,,2,2,1,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AuA.PALAUNG_KHMUIC.MLABRI,Austroasiatic,2,1,2,2,2,,,,-169,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.NORTH_OMOTIC.MOCHA,Ta-Ne-Omotic,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.NORTH_OMOTIC.MOCHA_2,Ta-Ne-Omotic,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmu.CHIMUAN.MOCHICA,Mochica,,,,1,,,,,-178,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gcu.SOUTH_GUAICURUAN.MOCOVI,Guaicuruan,2,2,2,,1,1,,1,-165,,1,,,2,,,,,,,2,,,,2,,,,1,2,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.SEMITIC.MODERN_MANDAIC,Afro-Asiatic,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSu.BONGO_BAGIRMI.MODO,Central_Sudanic,2,1,2,2,2,,,2,-160,,2,,2,,1,,,,,,,,1,1,,1,,,,,2,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.BIU_MANDARA.MOFU_GUDUR,Afro-Asiatic,2,1,2,2,2,2,,,-172,,,,,,,,,,,,,,,,,1,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt.MONGOLIC.MOGHOL,Mongolic,1,1,1,,,,,,-161,,2,,1,1,,,,,,,,,,2,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,2,2,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hok.YUMAN.MOHAVE,Cochimi-Yuman,,,,,,,,,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iro.NORTHERN_IROQUOIAN.MOHAWK,Iroquoian,,,,,1,1,,,-165,,2,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,2,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Hok.YUMAN.MOJAVE,Cochimi-Yuman,,,,,,,,,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.MOKILESE,Austronesian,2,,2,2,2,2,1,1,-140,,2,1,1,1,,,2,,2,,1,,,,,2,1,,2,,2,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,1,2,,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,1,,1,2,2,1,,,,1,,,,,,,,,,,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
AA.EAST_CHADIC.MOKILKO,Afro-Asiatic,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDa.AVAR_ANDIC_TSEZIC.MOKOK_TSEZ,Nakh-Daghestanian,1,1,1,1,1,1,,,-159,1,,2,2,,1,,,,,,,,,,2,,,1,,,1,1,,,1,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ura.MORDVIN.MOKSCHA_MORDWINISCH,Uralic,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pen.MOLALA.MOLALA,Molala,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tor.WEST_WAPEI.MOLMO_ONE,Nuclear_Torricelli,2,1,2,,,,,2,-170,,2,,,1,1,,,,,,,,2,,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,
Mom.MOMBUM.MOMBUN,Mombum-Koneraw,1,1,1,,,2,,,-173,,,,,1,2,,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.MOMUNA.MOMUNA,Somahai,1,1,1,,,,,,-177,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuA.MONIC.MON,Austroasiatic,2,1,2,2,2,2,2,2,-162,,,1,1,1,,,2,,2,,1,,,1,,1,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.UBANGI.MONDO,Atlantic-Congo,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.MONGO,Atlantic-Congo,2,1,2,2,2,2,,,-170,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt.MONGOLIC.MONGOLIAN,Mongolic,1,1,1,1,1,1,2,2,-85,1,1,1,,,2,,,,,,,,,2,,,,1,2,2,1,1,2,,1,1,,,,,,2,,2,,,,,1,,2,,,,,2,,2,1,1,2,2,2,1,,1,1,1,1,1,,1,,,1,,2,,2,2,1,2,,,,,1,2,2,2,1,1,1,1,1,2,,1,1,1,2,1,2,2,2,2,2,1,1,1,1,,1,2,,,1,2,,,1,2,1,1,,2,2,1,,1,1,2,,,,,1,1,1,2,,,,,,,1,2,2,2,,,,,,,,1,2,2,1,1,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
An.GREATER_CENTRAL_PHILIPPINE.MONGONDOW,Austronesian,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sen.SENAGI.MONGOWAR,Senagi,1,1,1,,,1,,,-164,,,,,,,,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.MONGO_LOSAKANI_NTOMBA,Atlantic-Congo,2,1,2,2,2,2,,,-170,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.MONGO_OPALA,Atlantic-Congo,2,1,2,2,2,2,,,-170,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt.MONGOLIC.MONGUOR,Mongolic,1,1,1,1,1,1,,,-146,1,2,2,1,1,,,,,,,,,,2,,,1,,,2,1,1,2,,1,1,,,,,1,,,,,,,,,,,,,,2,,,2,2,1,2,2,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.WISSEL_LAKES_KEMANDOGA.MONI_2,Nuclear_Trans_New_Guinea,1,1,1,,,2,,,-174,,2,2,1,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.MONO,Austronesian,,,,2,1,,,,-171,,,,,,,,,,,,,,,,,2,2,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.MONO_ALU,Austronesian,,,,2,1,,,,-171,,,,,,,,,,,,,,,,,2,2,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg.ALGONQUIAN.MONTAGNAIS,Algic,,,,,,,,,-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sal.INTERIOR_SALISH.MONTANA_SALISH,Salishan,,2,2,,1,,,,-159,,2,,1,1,,,,,,,,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,,,1,,,,,,,,2,,,,2,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,
Mon.MONUMBO.MONUMBO,Bogia,,1,1,2,,,,,-173,2,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.UBANGI.MONZOMBO,Atlantic-Congo,,,,1,2,2,,,-179,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuA.MONIC.MON_2,Austroasiatic,2,1,2,2,2,2,2,2,-162,,,1,1,1,,,2,,2,,1,,,1,,1,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuA.MONIC.MON_NONG_DUU,Austroasiatic,2,1,2,2,2,2,2,2,-162,,,1,1,1,,,2,,2,,1,,,1,,1,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.GUR.MOORE,Atlantic-Congo,2,1,2,2,,2,2,2,-160,,,1,,1,1,,,,,,,,,2,,,,1,,2,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.MOORIORI,Austronesian,,2,2,2,,2,,2,-88,,,,1,1,,,1,1,,1,,,,1,,1,1,,,,2,2,1,1,,,,,,,,,,,,,,,1,,2,,,1,2,1,1,1,1,1,1,1,2,1,1,1,1,,1,1,1,1,,,1,,2,1,1,2,1,2,,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,,1,2,1,,2,2,2,2,1,1,1,1,,,,1,,2,2,,,,2,1,1,,,,2,2,1,2,2,,,,,1,,1,,,,,,2,1,2,,1,2,,,1,,2,1,,1,,,,,,2,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
May.MAYAN.MOPAN,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.MOPAN_SAN_LUIS_PETEN,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.MOR,Austronesian,2,1,2,2,2,2,,2,-157,,,1,2,,1,,,,,,,,1,,2,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.SAMA_BAJAW.MORAMO_BAJAU,Austronesian,,,2,2,2,,,,-158,,,,1,1,,,,,,,,,,,,2,,,,,2,2,1,1,,,,,,,,,,2,,,,,,,,,,,2,,2,2,1,1,2,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krd.HEIBAN.MORO,Heibanic,2,1,2,2,2,2,1,2,-151,,,,1,1,,,2,,2,,1,,,,1,,,,2,1,,2,1,1,,,2,,,,,,1,,,,,,,,,,,,,,2,2,1,1,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.SEMITIC.MOROCCAN_ARABIC,Afro-Asiatic,,2,2,2,1,1,1,,-150,,,1,,2,2,,,,,,,,,,,,,,2,,2,2,1,1,,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,2,1,2,,2,1,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.SEMITIC.MOROCCAN_ARABIC_2,Afro-Asiatic,,2,2,2,1,1,1,,-150,,,1,,2,2,,,,,,,,,,,,,,2,,2,2,1,1,,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,2,1,2,,2,1,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mra.MORAORI.MORORI,Moraori,1,1,1,,,2,2,,-171,,2,1,1,1,,,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.GREATER_CENTRAL_PHILIPPINE.MORO_MAGINDANAU,Austronesian,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
