taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
An.OCEANIC.HAWAIIAN_2,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
An.OCEANIC.HAWAIIAN_3,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
NC.BANTOID.HAYA,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.HAYA_2,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
ST.MAHAKIRANTI.HAYU,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
AA.BIU_MANDARA.HDI,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
AA.SEMITIC.HEBREW,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.ATAYALIC.HECUO_TAROKO,d,-,d,-,d,c,c,-,d,-,d,c,c,-,-,-,-,-,-,d,c,c,-,-,-,c,c,a
Wak.NORTHERN_WAKASHAN.HEILTSUK,d,d,d,c,c,-,c,d,d,c,c,-,c,d,c,c,-,c,c,c,-,c,a,-,a,-,a,-
NC.BANTOID.HEMBA_BWINYANYEMBA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.HEMBA_MAMBWE,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
ST.BAI.HEQING_BAI,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
Sio.CORE_SIOUAN.HIDATSA,a,a,a,b,b,-,a,a,a,b,b,-,a,a,b,b,-,a,b,b,-,a,d,-,c,-,c,-
An.GREATER_CENTRAL_PHILIPPINE.HILIGAYNON,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
NC.BANTOID.HIMA_RDC,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
IE.INDIC.HINDI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
TNG.DANI.HITIGIMA_DANI,a,a,a,-,b,-,a,a,a,-,b,-,a,a,-,b,-,a,-,b,-,a,-,-,-,-,c,-
Car.CARIBAN.HIXKARYANA,c,c,c,d,-,c,c,a,a,b,-,a,a,a,b,-,a,a,b,-,a,a,-,c,c,-,-,a
ST.KUKI_CHIN.HMAR,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
An.OCEANIC.HOAVA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Brs.BURUSHASKI.HOPER_NAGAR_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
UA.HOPI.HOPI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
HM.HMONG_MIEN.HUANGLUO_BUNU,b,-,a,b,b,a,-,-,c,d,d,c,-,-,-,-,-,-,b,b,a,-,d,c,-,c,-,-
May.MAYAN.HUASTEC,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
May.MAYAN.HUASTEC_VERACRUZ,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
Hua.HUAVEAN.HUAVE,d,d,d,c,c,-,c,d,d,c,c,-,c,d,c,c,-,c,c,c,-,c,a,-,a,-,a,-
Hua.HUAVEAN.HUAVE_2,d,d,d,c,c,-,c,d,d,c,c,-,c,d,c,c,-,c,c,c,-,c,a,-,a,-,a,-
Hui.HUITOTO.HUITOTO_MIKA,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
Hui.HUITOTO.HUITOTO_MURUI,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
Hui.HUITOTO.HUITOTO_MURUI_2,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
NC.BANTOID.HUNDE,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.HUNDE_2,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
Ura.UGRIC.HUNGARIAN,b,a,a,a,a,a,-,c,c,c,c,c,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
IE.INDIC.HUNZA_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NDa.AVAR_ANDIC_TSEZIC.HUNZIB,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
NDe.ATHAPASKAN.HUPA,-,-,-,-,-,-,-,-,-,-,-,-,-,a,b,a,a,a,b,a,a,a,c,c,c,a,a,a
NDe.ATHAPASKAN.HUPA_2,-,-,-,-,-,-,-,-,-,-,-,-,-,a,b,a,a,a,b,a,a,a,c,c,c,a,a,a
Brs.BURUSHASKI.HUSSAINABAD_HUNZA_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.IAAI,d,d,d,c,d,c,c,d,d,c,d,c,c,d,c,d,c,c,c,d,c,c,b,a,a,c,c,a
LP.LAKES_PLAIN.IAU_2,a,a,a,-,b,b,a,a,a,-,b,b,a,a,-,b,b,a,-,b,b,a,-,-,-,d,c,c
An.MALAYO_SUMBAWAN.IBAN,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
NDa.LAK_DARGWA.ICARI_DARGI,a,a,a,a,-,a,b,a,a,a,-,a,b,a,a,-,a,b,a,-,a,b,-,a,b,-,-,b
IE.GERMANIC.ICELANDIC,b,b,b,a,a,a,a,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
An.OCEANIC.IDUNA,a,a,a,b,a,b,a,a,a,b,a,b,a,a,b,a,b,a,b,a,b,a,c,d,c,b,a,c
Ijo.IJOID.IDUWINI,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
ST.DIGAROAN.IDU_MISHMI,a,a,-,a,a,b,-,a,-,a,a,b,-,-,a,a,b,-,-,-,-,-,a,b,-,b,-,-
An.NORTHERN_LUZON.IFUGAO_BATAD,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
NC.IGBOID.IGBO_ONITSHA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ESu.KULIAK.IK,d,d,-,d,-,d,c,d,-,d,-,d,c,-,d,-,d,c,-,-,-,-,-,d,c,-,-,c
Ijo.IJOID.IKIBIRI,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
TNG.MADANG.IKUNDUN,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
ESu.KULIAK.IK_2,d,d,-,d,-,d,c,d,-,d,-,d,c,-,d,-,d,c,-,-,-,-,-,d,c,-,-,c
NC.BANTOID.ILA,b,b,b,b,b,-,a,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Knm.KUNAMA.ILIT,a,a,a,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
Man.EASTERN_MANDE.ILLO_BUSA,a,a,a,b,-,b,a,a,a,b,-,b,a,a,b,-,b,a,b,-,b,a,-,d,c,-,-,c
Bor.BORDER.IMONDA,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
An.MALAYO_SUMBAWAN.INDONESIAN,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.MALAYO_SUMBAWAN.INDONESIAN_2,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.SAMA_BAJAW.INDONESIAN_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
An.MALAYO_SUMBAWAN.INDONESIAN_JAKARTA,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ESu.EASTERN_JEBEL.INGASSANA,b,b,b,b,-,-,a,d,d,d,-,-,c,d,d,-,-,c,d,-,-,c,-,-,c,-,-,-
